,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],57.1046860257127,19.45893756543479,-3.936598032237676,-5.152946137754806,82.98331746925643,-0.5343861535330061,5.161501189644411,334.0261155689202,56.819158610092586
[0.35 0.15 4.  ],38.64637193521069,13.339520444932065,-4.245837050751327,-4.769232230714039,61.49060527710418,-1.2632658926662952,8.874668442219793,333.6337393374686,32.52961460238468
[0.35 0.15 1.  ],40.77420696308499,13.263741242486635,-3.789298278443755,-4.391548021147317,44.00901501123835,-2.539951764595437,8.423369212345433,333.0131135675622,43.3067872191642
[0.35 0.15 3.  ],44.07370843097615,13.131672370472083,-4.474356936259404,-4.051355847623996,64.80812392677365,-2.093628045495498,7.633684461184727,333.68320479134525,59.652127154325406
[0.35 0.15 2.  ],43.13771525777665,8.566965119092727,-3.7458477349466768,-4.8907962444910975,72.66554776119322,-1.6235165543952101,4.887499562490447,332.91077171144724,44.152891755531485
[0.25 0.15 0.  ],-4.772574349061216,-0.6055834796385176,-4.824133870299051,-4.796530909909512,-4.81683947008687,-4.841814519333635,-4.840697841346122,-4.839326446342066,-4.811396067994786
[0.15 0.15 0.  ],-4.497539817395449,-4.484394823336243,-4.482187330626008,-4.474562826056027,-4.50980308319045,-4.54432101259415,-4.4794657400054625,-4.502873337190794,-4.53490322609241
[0.15 0.15 3.  ],-4.310836858156186,-4.249926770654307,-4.203949927108402,-4.236483272330891,-4.274899535343475,-4.130229371702238,-4.20553387287914,-4.218941360990311,-4.206251330039815
[0.15 0.15 2.  ],-4.298519305568486,-4.305039376462178,-4.184197334927322,-4.355384875098875,-4.280936216548185,-4.236139983196185,-4.326126416969987,-4.222655908793487,-4.119029498193417
[0.25 0.15 3.  ],-4.584992030311238,-1.7570590401641588,-4.615346423045717,-4.65581750582767,-3.9993552327098936,-4.588041453578326,-4.647345709705764,-4.5757178824140485,-4.501367718477334
[0.15 0.15 1.  ],-4.270059002342722,-4.140344633652181,-4.223075975770954,-4.309309344971384,-4.132583760300749,-4.285116895584415,-4.335367512215504,-4.161226060504595,-4.141917779391785
[0.25 0.15 2.  ],-4.4735652347497785,-1.5942727391158649,-4.563579754707976,-4.6756454995786845,-4.5009496646126435,-4.570575210589283,-4.562942587948146,-4.462012182909446,-4.497769469423532
[0.15 0.15 4.  ],-4.251981468911735,-4.349742924184238,-4.236621176383041,-4.195338809755874,-4.3109745614566854,-4.173813162876501,-4.362497138797286,-4.040098460853225,-3.926659806172504
[0.25 0.15 4.  ],-4.550784829114023,2.4864939295998187,-4.660950810392836,-4.6643140748484075,-4.072090163260556,-4.448852672990051,-4.592150916735157,-4.538800692581497,-4.518306286928544
[0.25 0.15 1.  ],-4.565337442436092,-0.1924149260034316,-4.50630733582394,-4.6847570167313455,-4.202489633447058,-4.586910774076125,-4.581821181823305,-4.647768579764283,-4.514473543525869
