,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],158.34216344569887,108.41003928749211,43.12009032811665,5.103347040675133,156.93482006824416,119.33727716990438,-7.37303454583453,328.7584868648095,164.5991841545659
[0.35 0.15 1.  ],41.12453389810757,41.40849997510773,13.635942883156467,-3.3424702755891786,67.47851859640086,60.79342310472208,-7.596354755768277,327.9835737743102,73.70770074268437
[0.35 0.15 6.  ],2.4316426955964814,-0.7793233250777959,-0.2735145452779419,-0.3132410205032944,-0.07350523569605275,-0.14228903662796732,-0.37093817495795967,184.87556099498465,-0.3022404719818786
[0.35 0.15 2.  ],6.296072339301873,7.133255774761228,-0.9368811338405315,-3.914020000919258,43.177892896751516,26.94412338076095,-5.680281017961512,326.19673509477417,38.90915834987689
[0.35 0.15 5.  ],1.4908035520956018,-1.9339821501963603,-0.384971911866381,-0.6352270524313345,-0.5102764716743672,-0.9807855499549043,-0.6155886325472506,276.98661628575275,2.8485172903356895
[0.35 0.15 3.  ],12.121235677954287,-0.49990451016865967,-0.37146364236556084,-1.1697388776809996,5.5118808336023175,0.6089582448343691,-2.257369748568931,321.19528487424566,12.316507325637117
[0.45 0.25 0.  ],128.53140708862398,82.31661973477149,163.6439768048311,102.97231603209018,7.542256419277291,330.0247670632627,164.2481519653443,83.37170412226224,85.56070645122769
[0.55 0.35 0.  ],-6.658581342781416,-6.680169673107763,-6.659591700444324,-6.712719525055263,-4.3295466280046355,206.7545546020711,-6.916443573110641,-6.772760220863863,-6.737812737497656
[0.55 0.45 0.  ],-5.888720339309704,-5.7858554161525255,-5.855687727798022,-5.785598460100465,-5.82451947840672,285.68255682308103,18.517325571635297,-5.865855464201253,-5.93083237039589
[0.45 0.25 1.  ],45.056636616179134,30.898066909202903,64.89662992048268,45.756804166405885,-5.994753017182377,329.50644317218615,81.45736528967527,33.21749788929156,26.407965180187983
[0.55 0.35 1.  ],-5.196152333226591,-6.205518535096616,-4.987445221442378,-4.5840125821893905,-5.31864044529526,98.10032608077711,-4.990767751246437,-5.255391605620536,-5.441812567541659
[0.55 0.35 5.  ],-0.2573567352972581,-0.529854207019435,-0.2251890978676009,-0.22099528819444686,-0.31879455632086273,0.5263796220900698,0.0,-0.3311793927971645,-0.11063878871412836
[0.45 0.25 2.  ],12.253360575660933,9.923657677617683,25.30905269779995,12.372240873531181,-5.024546894482764,327.61053466777014,20.887154395394454,4.811355571369044,15.152932547266316
[0.45 0.25 4.  ],2.0835459153809355,-2.691100268217914,2.0900433631445194,2.7763709844889286,-2.633101752349109,311.26272765082126,3.4027624910778393,-1.4517046150354327,5.3704206654459625
[0.55 0.35 4.  ],-0.26055031387511257,-1.335610738984757,-0.25785121594126725,-0.5120386619929279,-0.4748670740920935,7.777280256234947,-0.4597069894680537,-0.33317381473442653,-0.7078516242431125
[0.45 0.55 0.  ],5.979951717038052,-4.920417642349347,-5.030229426940101,-4.870839291261039,-4.863803087683338,-4.84196917115462,20.192695831160602,302.54519886028146,48.71765040538219
[0.55 0.55 0.  ],73.13438201111546,53.91572942361095,84.14604294401661,99.45680064960574,222.34685706492078,56.796463093696225,125.74928282998265,337.2840406555911,71.95747241502997
