,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0. ],237.60082319504085,594.0298692594739,159.32636604421523,71.94013041728456,267.9221514619758,199.4701502624589,156.83070760805967,145.6502086348235,77.96031564362072
[0.3 0.3 0. ],204.2770637810286,217.51164648562673,251.5076438001179,208.77470015905516,242.48357811827435,167.89573186301286,74.88233137231323,596.8023768751793,221.54184521596426
[0.5 0.3 0. ],-1.1346146400600297,590.8866266757841,-6.755495427177897,56.2483372150594,-6.709706405050143,-6.4919105178863425,-7.171648260947928,-2.8927503964088555,-6.770468120456008
[0.1 0.1 0. ],-7.442599259604021,-6.879744803261594,-5.856698372704653,-6.799445150767542,-7.130750055380166,-7.17488947501645,-6.75002617570536,318.2571513671177,-6.960019686461542
[0.5 0.5 0. ],219.17581066482012,61.05829389194223,138.1447534263279,307.0663312566956,191.2515837922352,98.08919676581768,161.76457550203622,599.7124900843589,164.54909652593923
[0.7 0.7 1. ],294.3569466524937,172.05424452679125,32.23594674380408,167.06322021570128,234.75762978609765,99.20062157423449,204.0801461512449,602.0469219150318,202.5675024643773
[0.7 0.7 2. ],-3.577905096286556,-2.608630837842634,-3.5661749503887132,-0.35438584405520024,531.6934266492636,-3.6179116172630623,-4.451609240633266,-3.5830231824001335,-3.761690404662047
[0.9 0.9 3. ],262.80587796759573,48.63129437064309,247.27903495708304,131.36813166890707,132.4680289377173,79.94381141319413,89.52617022282453,614.351351542357,83.48787897218342
[0.9 0.9 4. ],144.4631276893325,151.08599565718356,214.7408022064536,167.78694589382388,183.68383022070893,272.5141171014177,617.569419801829,210.99797364029288,178.99031112858876
[0.9 0.9 5. ],0.48752130349402645,-2.791924543989632,49.81378683653022,-2.7472031783540753,561.8014845174392,3.050811759128079,-2.708162860405304,-1.3478631360016262,18.381890922715233
[0.9 0.9 6. ],23.564046120669524,21.824701307259243,18.83110327117351,-2.7285024082541045,18.43560898157946,6.610453236100208,569.0439046803874,10.973211973053115,11.726909533532078
[0.9 0.9 7. ],637.7373845953116,174.0992220324124,68.37545049606398,203.93408840102293,152.1116988685678,367.8529565744398,117.02719967545606,143.02660281992655,177.36320674270928
[0.9 0.9 8. ],169.23737607993166,396.1984771148929,98.74192793638599,166.7551386606514,136.6050012449534,640.1730784368451,25.090609330522955,224.62592119924165,165.3837753310457
[0.9 0.9 9. ],642.3619814900375,250.62902807220726,72.19279896198917,100.10465410919554,308.0196122252025,221.81643964675223,63.96238069901784,237.30557116951428,109.50993390890108
[ 0.9  0.9 10. ],196.22487119044953,643.5799670948652,73.91284988840727,52.92654929213443,223.33302993385618,177.96082663004808,185.55174233144558,151.57385470187276,248.60932387373262
[ 0.9  0.9 11. ],134.9245839327693,211.96872572933688,228.6837009439768,91.47111176958806,187.16078937228133,343.3681085139212,168.6121722489661,168.48207016120568,642.7659402040807
[ 0.9  0.9 12. ],246.19801952734952,359.41241733465233,161.1595960485653,287.64064996306337,208.5248051327296,651.4578056479991,252.28923391515625,181.49667961436546,182.636104664957
[ 0.7  0.9 13. ],51.48263360135189,71.55510281251856,604.2829520548095,-1.713783934181531,0.31989146941202506,-0.9063169321519692,-1.9456935133411273,-1.0089002365335742,-0.43929852265085106
[0.5 0.7 0. ],-4.951145379066219,-4.834901293985646,25.95053690808197,10.080953656581485,-4.294302260097423,-5.163646635694271,39.98101139196406,591.1891452086077,2.9547747951003056
