,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],-6.817786430896268,-6.814980107404249,-6.81687797540511,-6.8167900303561915,-6.817100921638151,-6.814681776195895,-6.817824399191393,-6.822426997428761,-6.817295035826683
[0.35 0.25 0.  ],-5.858444825653079,-5.855905819125857,-5.873414279182363,-5.858250395803792,-5.861826891880906,-5.861939630183019,-5.865175808513699,-5.864362413099111,-5.863114087857026
[0.25 0.15 0.  ],-6.309345978988993,-6.308513829567468,-6.309859444581123,-6.3067798305449205,-6.307691320472557,-6.306233411995792,-6.308690565117226,-6.306952191965211,-6.305182806086955
[0.15 0.15 0.  ],-6.21472222413484,-6.213790892572477,-6.217993983968804,-6.217598555350789,-6.212632419936784,-6.212756518034156,-6.219669571594675,-6.210936639732431,-6.222539490278539
[0.25 0.25 0.  ],-5.944652516175887,-5.944812035271643,-5.956318356570762,-5.939946296093993,-5.9437515534157646,-5.947956447182272,-5.947345297578198,-5.940348900913907,-5.945080219588485
[0.25 0.35 0.  ],-5.592431729153286,-5.591754291408377,-5.598514077866897,-5.597774500154314,-5.593495642304326,-5.59019486173079,-5.5969075861161794,-5.59147358550793,-5.593942929952906
[0.35 0.35 0.  ],-5.029102813624815,-5.025822893086506,-5.0371881474718005,-5.03458053183901,-5.023389772462692,-5.032162407499829,-5.030435151073073,-5.029636045679381,-5.023285188347849
[0.45 0.35 0.  ],-4.915439417710206,-4.916126799206091,-4.929189558680756,-4.918195445249372,-4.919622094408096,-4.920314784474498,-4.931387349877613,-4.91368669240218,-4.9186115037143505
[0.55 0.45 0.  ],-3.9506626166623153,-3.9443479794550385,-3.947774112065893,-3.952888070254537,-3.9509714706651047,-3.94483779377073,-3.9582917744698003,-3.952314777654131,-3.956500789689911
[0.55 0.55 0.  ],-2.9738044873086364,-2.9734987006385,-2.983470127457562,-2.97646487248593,-2.9787069253377676,-2.9750258674185885,-3.0002217848193387,-2.971019607229161,-2.980301994395466
[0.65 0.65 1.  ],-1.930284902355689,-1.9311400188115657,-1.9313243829863591,-1.9347314946764345,-1.9304337206734903,-1.9373909309966781,-1.93481790969311,-1.9304041125953937,-1.9322885623435502
[0.65 0.65 2.  ],-1.2748011121193998,-1.2715487140643813,-1.2713907000486862,-1.2712888819633077,-1.2724239968411668,-1.272714470481618,-1.2828526671713776,-1.2734646897446324,-1.2704381189820537
[0.65 0.65 3.  ],-0.9216694766887218,-0.9261562974368074,-0.9236853314794208,-0.9286872254054627,-0.9238180681448632,-0.9204377319605499,-0.9201483787186572,-0.9255105229524087,-0.9224795312690455
[0.65 0.75 4.  ],-0.6266935532447064,-0.6228334272321807,-0.6258896467482564,-0.6309342842259671,-0.6241267931151999,-0.6243487748855068,-0.6282511642167906,-0.6282270539444722,-0.6248877370016467
[0.75 0.85 5.  ],-0.38233575314678625,-0.38497989193791887,-0.38966883663391894,-0.3804215496306977,-0.38280898138521413,-0.38733973878377387,-0.38791195420631147,-0.38123843037660665,-0.3885374006439502
[0.85 0.75 6.  ],-0.3388933046122505,-0.337665775305127,-0.33102030465174664,-0.3365793651887397,-0.33221308234883856,-0.3382377313096907,-0.33341036713852773,-0.33553379215796253,-0.33161855798681655
[0.95 0.65 7.  ],-0.24306558651170054,-0.2420213107976112,-0.2416906053450463,-0.2508482398022443,-0.24256338478836362,-0.2468318014741498,-0.24219290599039092,-0.24272179613943912,-0.24153248904667252
[0.95 0.65 8.  ],-0.25160452114171916,-0.2511303449462498,-0.2600021065113843,-0.2571769690578982,-0.2602372598792484,-0.2525644542650664,-0.26075888574770645,-0.2600346682098003,-0.2601013421663988
[0.95 0.65 9.  ],-0.26120880138901253,-0.2701771728879442,-0.26974039358112284,-0.2639108997881403,-0.26124482646325015,-0.26111865357928077,-0.27061803778090693,-0.269304437827087,-0.2613813913964352
[ 0.85  0.65 10.  ],-0.29550461155127533,-0.2948967157179837,-0.2865632477714559,-0.2860583663566411,-0.294947719272282,-0.29285760255342924,-0.286077853447161,-0.29372529673515446,-0.2872129520376776
[0.15 0.05 0.  ],-6.272454214058469,-6.275533359165743,-6.27524914416406,-6.280498438402403,-6.27982603309084,-6.279738105493702,-6.277400537392284,-6.282570624262246,-6.272608048627117
[0.25 0.05 0.  ],-6.448515322359645,-6.44485031416561,-6.439034901952414,-6.446873471516238,-6.441223200236508,-6.438888623078746,-6.44315969089809,-6.448178074786284,-6.442148349557319
[0.35 0.05 0.  ],-6.5180654971866705,-6.510122540042046,-6.512115402452664,-6.517875347517545,-6.513422936882157,-6.513210497595579,-6.51712050828317,-6.515009929054035,-6.5091175312704435
[0.05 0.05 0.  ],-6.196888099054282,-6.202007516902778,-6.195563604939816,-6.1981211535845055,-6.201536546190846,-6.196498616641461,-6.204379663910945,-6.204982879054448,-6.204118173092047
[0.05 0.15 0.  ],-6.203692233203809,-6.209040849953585,-6.209713142942789,-6.206990974649494,-6.208053749030491,-6.208423395576505,-6.205486517645618,-6.211686577472744,-6.212456090871679
[0.45 0.25 0.  ],-5.787878672573354,-5.788182445849028,-5.7920017370299535,-5.795127608762399,-5.787759582111512,-5.796187252589655,-5.806487313114393,-5.787388507811303,-5.791284579670073
[0.45 0.45 0.  ],-3.9994682098072145,-3.9974383944361476,-4.0106621616552465,-3.9982802079891786,-3.9982503036353023,-4.003291950961818,-4.016469800679258,-3.9940106411926153,-4.004065470583169
[0.45 0.55 0.  ],-3.094655341308034,-3.0910035570855197,-3.0992825639469794,-3.0955811966133684,-3.0936728300847443,-3.0922592223346412,-3.0991174373300576,-3.097132060135356,-3.107319781217995
[0.55 0.65 0.  ],-2.276090774375189,-2.2787012124137913,-2.2759987647513955,-2.2803831923420246,-2.2749392462219498,-2.277395311726946,-2.280692388894417,-2.2727108250334958,-2.284254194048656
[0.45 0.75 0.  ],-2.0373417031179004,-2.0354474316671585,-2.0360210861452206,-2.037977263538767,-2.042722002129799,-2.0406129115323117,-2.041274498550127,-2.0439540603738418,-2.044938708440095
[0.35 0.65 0.  ],-2.25634072656313,-2.250978584354902,-2.2515468237300738,-2.25298047754234,-2.2507900917259427,-2.248993590937897,-2.2564217882678825,-2.2553763591273848,-2.2506179406232794
[0.45 0.65 0.  ],-2.4062571477372896,-2.4071463083993745,-2.4094382422033114,-2.4076688928581094,-2.404759600170752,-2.401745743117021,-2.4074087362361807,-2.4077914698518104,-2.4105573365304838
[0.55 0.25 0.  ],-4.93475918360224,-4.927181201711426,-4.932700282215847,-4.928240116323113,-4.9259471567750825,-4.93246765431471,-4.932155957599983,-4.930010419223174,-4.927615924995547
[0.65 0.35 0.  ],-4.409054550011485,-4.404111226328414,-4.411767632389835,-4.408102832087134,-4.406880665391825,-4.401811386520853,-4.406713675987163,-4.40515351151267,-4.4057722816906
[0.75 0.25 0.  ],-4.130706572569541,-4.135719668728853,-4.136196214878436,-4.13809058459377,-4.130294758986616,-4.13850947026341,-4.133534315074259,-4.130441583537935,-4.12845702112917
[0.65 0.15 0.  ],-4.299887973786337,-4.291807764331661,-4.295282631083632,-4.298735405280065,-4.297486194412975,-4.297585481608937,-4.291672662795427,-4.291734594647237,-4.298707952216883
[0.65 0.05 0.  ],-4.091000944058083,-4.087094337197963,-4.0904842101358785,-4.0907392017226805,-4.095777211613401,-4.086760223848646,-4.090064331737478,-4.089422147323523,-4.09454653172226
[0.75 0.15 0.  ],-4.070515510411913,-4.0693538225778605,-4.07168200094248,-4.0757001395825005,-4.06956725871724,-4.078109510323136,-4.075868710057823,-4.071806094813189,-4.066247974756153
[0.85 0.25 0.  ],-3.9213948122971503,-3.929259127480765,-3.920724427143445,-3.923054058192102,-3.9226668853792366,-3.932211628318897,-3.922069427745632,-3.9238356247598465,-3.927511992185694
[0.85 0.15 0.  ],-3.891902904520646,-3.8990429077190627,-3.8911894128825724,-3.8920197041121014,-3.8928489026026956,-3.8947610783528073,-3.9010090574162106,-3.8977029991267225,-3.8945679037274608
[0.75 0.05 0.  ],-4.011114163453233,-4.009483493908364,-4.01062586269836,-4.018164671821386,-4.015194037434047,-4.01789657297006,-4.0178951509462815,-4.016715234276255,-4.01905257162818
[0.85 0.05 0.  ],-3.881564441955353,-3.871788988688906,-3.8724878300207144,-3.878950976923158,-3.872325961432479,-3.8790044950518547,-3.870710376993425,-3.8697539626194666,-3.8676191931592503
[0.95 0.15 0.  ],-3.812241649172794,-3.807322109937327,-3.80745720180204,-3.8103155350602034,-3.801133116547864,-3.81071862085141,-3.8116202919117836,-3.8036566819456112,-3.8053918151045387
[0.55 0.35 0.  ],-4.845906590431148,-4.837127067571618,-4.8408365284306125,-4.847237588942206,-4.839234359452381,-4.837614800448302,-4.837938683726136,-4.842344385031296,-4.837651503698704
[0.65 0.25 0.  ],-4.417114416734302,-4.409632310973116,-4.410212414799402,-4.418084205738358,-4.414712367248278,-4.414113620291333,-4.4139524093005615,-4.408766666752059,-4.408792862765037
