,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0.  0. ],0.17384142049851187,-0.4455949823179252,0.1711654345190526,-0.854685972682302,1.2149324942322048,0.7016076206089303,0.5262239926156649,27.535371094492803,0.9048971273628625
[0.3 0.1 1.  1. ],-0.3556373213668856,-0.3432654998648197,-0.45194650345977994,-0.8428883303696367,-0.01213910179463995,-0.7546536789697662,-0.7404519388903814,26.944501395616484,-0.4623747643091831
[ 0.3  0.1 12.  10. ],0.6567134836383909,0.6107889593480582,0.7379808164240912,0.5711262320571107,1.0752151794516487,0.9266580553570506,0.6769785410979421,24.0464554799915,0.9510553196807288
[ 0.3  0.1 11.   9. ],0.6380263443033476,0.6166679534132781,0.8143092564514727,0.708366735158127,0.7286928652212727,0.689149286500884,0.7097442773692237,12.936014694797992,0.8209565844001853
[0.3 0.1 8.  6. ],0.732602253044902,0.7770908943857675,0.8395640825898649,0.5783993822129172,0.7611286525649897,0.8100811836635895,0.8805258890065985,7.518466267001442,0.913899204484585
[0.3 0.1 7.  5. ],0.7885117614857393,0.6562089577804769,0.8328313899619397,0.7266842564065937,0.8867744404882404,1.0930669258834382,0.7596475648093659,11.332195861501976,0.739731947481822
[ 0.3  0.1  7.  13. ],0.9397679051816087,0.6154446774541561,1.1051469908150686,0.5891567501853016,1.1414906475681592,0.8935002538349686,0.7302602608791413,32.40081532113591,1.1548751659734324
[ 0.3  0.1  6.  12. ],1.035306148486284,0.6046471816917247,1.2446688417509155,0.5856361800455743,0.8235014060502681,0.6391688054289644,1.3513181044632008,31.43325822605262,0.9481472465821368
[ 0.3  0.1  6.  10. ],0.8383333867163452,0.7440084826985636,0.8336096939965384,0.5982187486324776,0.9162330845626591,0.7013958338318802,0.9429962983952748,18.377011297154525,0.9722500544101582
[0.3 0.1 5.  9. ],0.8092339303656895,0.7380296340066653,0.9136318109119265,0.5333904816131491,0.7651239896285031,0.66299846373306,0.5972854476189012,16.628939186901086,1.125137220982909
[ 0.3  0.1 12.   1. ],-0.27129789565257295,-0.40264505184865285,-0.15993188245282414,-0.47062312023634795,-0.2072563363206417,0.009686298311343128,-0.07704010504525363,26.21246400392856,-0.2507728352218027
[ 0.3  0.1 11.   0. ],-0.4368469992711689,-0.450582261651707,-0.2449746604214918,-0.46660513018253597,-0.3654579329042479,-0.05928334796518592,-0.06620693569437458,25.814604127097397,0.2797384139637693
[0.3 0.1 2.  6. ],0.24903114140991908,0.2731341922730739,0.2457458777842545,0.30475875485342124,0.23456833757938295,0.2834370641472462,0.3162736031334618,8.257015703185715,0.3332974043114326
[0.3 0.1 1.  5. ],-0.2851558884771724,-0.4339580376958663,-0.4287206008848694,-0.41610844603608427,-0.18844499293401712,-0.29241235630381046,-0.3028707961420658,7.453334349021077,-0.37019759488645226
[0.3 0.1 3.  5. ],0.5577708947736337,0.592522423878881,0.6326590428234051,0.45374250663404714,0.6735051796992065,0.7238179507165878,0.619892973404204,9.345469400620669,0.724917597027918
[0.3 0.1 2.  4. ],0.1977500173460333,0.3034636940038623,0.383611983059525,0.2079063532210247,0.4975725076742532,0.2607983257079309,0.5915979211294631,10.601627771985099,0.8162285602790507
[ 0.3  0.1 10.  14. ],0.6835214864508431,0.7921224848281739,1.3887054172387796,0.5952778822642033,1.1504933623334945,1.4585429310043494,1.232988095745291,33.032887479786446,1.7667825923686151
[ 0.3  0.1  9.  13. ],0.7160181487616581,0.6906492253481707,1.5063786730082591,0.6474471328640553,1.7309508477868796,1.026528882737133,1.3434821535345458,32.5154525618792,1.384511029574003
[ 0.3  0.1 12.   0. ],-0.15615694191549787,-0.3340778582788745,-0.13892957165374034,-0.49541076891558616,0.10537953734604666,-0.131809038054894,-0.3430632085422887,26.018904371867215,-0.13170974307747488
[ 0.3  0.1 11.   4. ],0.7572229018011347,0.7234533175037455,1.011347863793971,0.4619806660378946,1.1825592438444428,0.6898829085184038,0.7867769043262374,16.966515333261587,0.9025090022966021
[ 0.3  0.1 10.   3. ],0.7767422352911619,0.6887156357223965,0.7771589061289477,0.483635449738965,1.0607541288327333,1.0518177401748097,0.5363596662177822,27.692078834510014,1.1719265191532677
[0.3 0.1 0.  8. ],-0.32595253742368907,-0.48924837899485857,-0.4076728825237424,-0.4467095789841788,-0.3016704000588039,-0.307735383437008,-0.35086656254633686,6.739442687607168,-0.3348996416750772
[0.3 0.1 0.  7. ],-0.39938701777830393,-0.4138577348358047,-0.43685576665622533,-0.2993495034910011,-0.4021030724561337,-0.31173342099843415,-0.4151188556565251,6.844473051981359,-0.3264484108349057
[ 0.3  0.1 13.  12. ],0.7818030894147543,0.7686417899020284,1.0404331177013144,0.4833651593047043,1.7414219779069815,0.744875254808149,1.121994550216327,30.89602474881339,1.2124017183610634
[ 0.3  0.1 12.  11. ],0.7116330190630856,0.7240412293205835,0.8869173008700494,0.4848154572892487,1.3292707508224075,1.1584469781563898,0.7416818157366731,27.945664004382305,0.9662421765250861
[0.3 0.1 1.  0. ],-0.37138766809932455,-0.7490790533618343,0.0021129757578150776,-0.8813889585880781,-0.1485318838219311,-0.6288548485263579,0.3974101623738525,26.917064656345396,-0.374370521559496
[ 0.3  0.1 10.   4. ],0.8552903602512514,0.7753269788523158,0.8866411893853154,1.1517918665062976,0.6869855843249215,1.482806499574575,1.2696702595811677,10.953830041153521,0.9193959728026687
[0.3 0.1 9.  3. ],0.6875989336782138,0.5913584226266853,0.5455260654238688,0.5150356158138756,0.8519388581088123,0.7616524005271776,0.6515946794201091,27.978798416872678,0.7360420242915569
[ 0.3  0.1 10.   5. ],0.7432441115992348,0.6636970297109569,0.8531264134215931,0.5312298214430354,0.9833269539776077,0.7037969609287508,0.744288631042963,7.402543274537434,0.9927470758885526
[0.3 0.1 9.  4. ],0.6365149939404579,0.736039222053225,1.0332309746484272,0.7063925599965789,0.735097565320936,0.6537142647558254,0.9757233335964408,8.302370249136382,1.168171827241003
[ 0.3  0.1 14.   0. ],-0.3050062598535068,-0.27438513676370196,-0.13091433489858417,-0.4728878393074219,-0.28112129459752877,-0.4367996617502011,0.014012274735765246,28.540503859842627,0.061433780684219175
