,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0.  0. ],-1.0271984035265467,-1.0672945431490204,-1.0614447008493104,-1.1325047428646609,-0.9397609526787783,-0.9605349821869428,-0.9904761636132727,5.324390371652351,-1.0147463939812364
[ 0.3  0.1 15.   2. ],0.08375284518736469,0.07554349673223479,0.07783106540694036,0.08870870729537893,0.0779807584284688,0.08429040678108358,0.07607019009139625,1.1640798613665038,0.07752503177915045
[ 0.3  0.1 14.   1. ],-0.06976328864406475,-0.07624861176603719,-0.08927270021038763,-0.10502894070088876,-0.08439758219051348,-0.08464981656249057,-0.06383168485810208,0.06272980606016158,-0.08391749334018911
[0.3 0.1 9.  0. ],-0.07779209625265882,-0.07567025033227842,-0.07685396224163114,-0.08148700018647674,-0.08320293405832872,-0.07937214169693571,-0.0789271731644548,-0.14218361461024148,-0.07790031527482444
[0.3 0.1 8.  0. ],-0.06786048605985737,-0.06730465287792978,-0.06800449113583396,-0.06782383806691025,-0.0743457169023034,-0.08634646292351467,-0.06880756190517638,-0.1197689629514459,-0.07945689389836753
[ 0.3  0.1 15.  13. ],0.09713133003395868,0.10652219323209702,0.06354735657348425,0.08978151778462162,0.07833124990691781,0.06647194807307533,0.07177625778433322,0.6959919665749212,0.07940779644698456
[ 0.3  0.1 14.  12. ],0.10467517498184659,0.10066505337586329,0.03840397132613328,0.08979047772838186,0.061927339617271975,0.08819696137914215,0.08516739316656331,0.6789737824998865,0.1140557168169248
[ 0.3  0.1 11.  18. ],0.09515117284897306,0.05674371318908901,0.08084313334694808,0.05771779267840426,0.10402882593855815,0.12081190599316705,0.09067187371230545,0.9497790279962295,0.07827978383325165
[ 0.3  0.1 10.  17. ],0.07298245551451722,0.06906570342585003,0.06139569526679218,0.12413796573036029,0.1295941904695383,0.08433254839392929,0.08218029151470647,0.8260895472302814,0.06528442856891832
[ 0.3  0.1  0.  10. ],-0.03969377506747716,-0.06272740732815743,-0.03523677008304223,-0.06748503728940199,-0.05894309825117011,-0.04055108132549817,-0.08307504692846779,-0.3669386281381258,-0.07295439195558832
[0.3 0.1 0.  9. ],-0.05372904261703391,-0.05332093554513448,-0.06299739959069149,-0.07571250702938999,-0.058201667382984,-0.058589661176705846,-0.048921485309425514,-0.3395096042371438,-0.08511920697043661
[0.3 0.1 4.  6. ],0.057091592764468346,0.06037581117695779,0.05212638919222213,0.05634029410201237,0.034177706980638586,0.0806016108834484,0.04237429526790665,0.6005398108565687,0.03564954270735028
[0.3 0.1 3.  5. ],0.07364299614336199,0.0968718952334874,0.04836779639458071,0.07537907379401784,0.04121553768540043,0.04191639777030084,0.06254337549767722,0.6143305876675881,0.055687650341003814
[0.3 0.1 1.  9. ],-0.01024522942505,-0.039464292764777094,-0.0537656000098795,-0.06733854330542138,-0.025333409319502967,-0.049338194254875116,-0.05344775562732581,-0.31933520126596043,-0.06808937509528687
[0.3 0.1 0.  8. ],-0.08170081347332554,-0.08014646598657585,-0.0544279816737952,-0.06225992992342144,-0.0542853693070442,-0.03489370243258425,-0.07753305349183809,-0.3042529398806274,-0.05899782025285725
[ 0.3  0.1 18.   1. ],-0.0853356172699094,-0.07118599480343712,-0.05159821063874543,-0.09630532691531664,-0.062082760124125835,-0.0653452584246027,-0.06650100412622845,0.19630731923066963,-0.08931170055769018
[ 0.3  0.1 17.   0. ],-0.09803451402349773,-0.08749468011561104,-0.08802168832630798,-0.09154098064412258,-0.09739346415074333,-0.08350326806543737,-0.08407590062122217,0.07152501020731612,-0.08414316302033312
[ 0.3  0.1 15.   5. ],0.07951631533069296,0.08043306486009594,0.059357678010457805,0.11266775059772598,0.048289767588333324,0.0688321230331802,0.0693534260930608,0.6852851739148637,0.06773502975354027
[ 0.3  0.1 14.   4. ],0.058548531736303415,0.08395872878194605,0.10004200306873906,0.09130948366586913,0.0748594039841743,0.09727414619840635,0.042687646134883406,0.8565911952115363,0.08841903445237256
[ 0.3  0.1 13.  19. ],0.07207009457527912,0.1102760888102749,0.0883894038283493,0.09046526936404838,0.12242275125869809,0.07234621431683798,0.07759768900543805,0.9242476757259163,0.06759411582388392
[ 0.3  0.1 12.  18. ],0.052201638481843414,0.11455931006417865,0.10608144509181981,0.0788489043055382,0.09710287748765493,0.09643094847131164,0.0770483767162159,0.9418029968396223,0.08491565514856796
[ 0.3  0.1 14.  13. ],0.10131398415815195,0.08501516447746639,0.05899413586144658,0.083029827826388,0.06280869195858628,0.05489062109505696,0.08138868964270753,0.7355381949445967,0.07250908685029296
[ 0.3  0.1 13.  12. ],0.10511610432431773,0.10639620155034442,0.051598298278761855,0.08159839116205157,0.06378923810139572,0.09807822817217268,0.08912794404788997,0.8135205113772122,0.09834763751055393
[ 0.3  0.1 10.  10. ],0.07709499346834021,0.08969744878582052,0.03966508117585585,0.09847726084356764,0.07187123679020607,0.0645434939764968,0.08663981968546308,0.5893764990133303,0.07792786227698473
[0.3 0.1 9.  9. ],0.05241714288053223,0.06947294705278863,0.02265373027123736,0.06951053484211174,0.056372271971966426,0.05351008164225623,0.05004762188318705,0.6206033521761833,0.11067664196285279
[ 0.3  0.1 18.   7. ],0.06928304345625745,0.08693779184961628,0.06773600307875574,0.044678334758031936,0.07928380231937258,0.06540164826127559,0.06858613540132813,0.7973648522424349,0.09486326770719304
