,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0.  0. ],2.6154877870206255,0.651889343632188,0.1469958300896459,-1.0437629336175627,1.2837921502397376,1.682502264151929,1.9473895365537575,15.69703472448335,2.145967012876582
[0.3 0.1 5.  1. ],-0.0515872233545976,-0.06597895097013041,-0.07875700629190344,-0.06720266180317964,-0.06621484384649833,-0.03701169926209409,-0.06445045330191473,2.447867252478962,-0.04803861750601557
[0.3 0.1 4.  0. ],-0.2025892889429203,-0.20310232795872976,-0.20597074209637628,-0.23290526814342571,-0.19818314162673598,-0.22039775819426224,-0.17614045743463153,12.012339294003588,-0.0914582833163784
[0.3 0.1 0.  2. ],-0.43717580770918474,-0.5630181095808422,-0.6252051980378054,-0.7614786895312481,-0.6125731485170836,-0.30497246365798925,-0.4741534390148859,15.57667740656081,-0.4937538408436101
[0.3 0.1 0.  1. ],0.02645330373805324,-0.25778657367357805,-0.6959748857325678,-1.3200755357378182,-0.43375027654282106,-0.2063974385938285,-0.49152236420643336,15.775177499214164,-0.10635374301033915
[0.3 0.1 1.  0. ],-0.026477567795248846,-0.5254666920635604,-0.7872960019630723,-1.3213735718277206,-0.5371000076009241,-0.005451458671605625,-0.06143321581932257,15.753326986599046,0.2328132957245023
[0.3 0.1 0.  4. ],-0.04303805689737444,-0.11124535388316091,-0.09596140087045262,-0.0998708560662558,-0.07009124157604711,-0.09951443757908127,-0.07935708016665526,8.85693126368203,-0.052094225018429474
[0.3 0.1 0.  3. ],-0.04196988731138088,-0.24007355810587777,-0.23107836048602248,-0.23833864072576771,-0.2950071889178748,-0.15161493252205105,-0.1439068039453043,14.070648797426452,-0.09172068478660805
[0.3 0.1 1.  1. ],-0.3159247061160844,-0.6388927280501964,-0.6051329669677249,-0.9611171770944148,-0.3612051388402856,-0.4269554738284074,-0.467258583368785,15.64331543787548,0.08567670755863502
[0.3 0.1 1.  4. ],0.06006292133403556,-0.05421483269399906,-0.022563014330766577,-0.042901287092294335,-0.021600934370754044,-0.05474153472494557,0.000773447115149338,6.779438930675346,-0.025417980658642047
[0.3 0.1 0.  5. ],-0.04711050509763,-0.053390933983782134,-0.04088613545374544,-0.04454115207657032,-0.08297838755180098,-0.045687414701907264,-0.03611295692341153,7.9983741957521515,-0.015008703021958576
[0.3 0.1 2.  4. ],0.01754356917058391,0.0,0.023859160088727422,0.028175348289523568,0.018856790869060308,0.01381993389385636,0.06191782471702388,2.5071353216243653,0.014208863919711483
