,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.   0.  ],10.648039535465509,13.973823041995104,5.709313142797772,11.962297463394453,12.68007826070777,7.897875558758221,7.392548006245344,19.412731039614954,14.702052563083102
[0.45 0.25 0.   0.  ],15.927329733972703,12.440579155350367,13.041020537779769,9.390515026274212,20.11063182076666,8.541398464812362,11.236901044878312,10.60819906415228,15.518816222680776
[0.35 0.15 3.   0.  ],0.058059522451386014,-0.26452803265799163,-1.6269797947868765,-1.3308912261206884,0.18794049449162833,-1.7775317786235316,-1.279940284881824,18.9966012917304,-0.26370790363723906
[0.45 0.25 2.   0.  ],5.371781153419292,2.3272515187773166,4.392729104447247,1.0804187565417969,19.690538398272057,1.4598692626250298,2.5592695023587733,1.6411407494317407,3.5073840904991087
[0.35 0.15 0.   3.  ],-0.40807089304936606,0.3866209874375197,-1.6933428502263692,-1.1264499132785089,-0.3632838756830872,-1.4835416920649942,-1.3363111691117746,19.048238734155955,-0.39831146723046695
[0.45 0.25 0.   2.  ],5.012212594633842,3.525304913486108,3.3206839296962856,1.2917990083611117,19.748837937597738,1.0404404783673533,2.150149881939296,2.300685591873672,4.090445023602118
[0.35 0.15 1.   0.  ],6.393911152460314,8.731648445666927,2.291659548822697,7.989999071663577,6.674116903507658,5.321584532145905,4.963982158458154,19.227008235804774,7.9081878040233
[0.35 0.15 0.   1.  ],6.499393061540913,8.36728266124536,3.629335852078752,6.783868643870799,6.874066181172358,5.039716959879401,3.7998544714024916,19.19477500060822,8.704519812975406
[0.35 0.15 2.   2.  ],0.2784228869389029,-0.303085174787227,-0.5652779443975934,-0.6842642271842652,0.24925649744236847,-0.2880235834539085,-0.5577656198910325,19.684428575134188,-0.02459888126606355
[0.45 0.25 1.   1.  ],4.76588287522331,2.8513495670676767,4.790629763102111,1.9895208570626954,19.69622003459463,1.4061581417814035,1.8973562652975335,2.2983420625599553,4.645354294081007
[0.35 0.15 2.   0.  ],2.5077646556857713,3.741484871012692,-0.8840352666571347,0.08166721545246389,3.372580724467311,0.9870036381205549,0.09780520072234468,19.115039088302133,3.542603320210459
[0.45 0.25 1.   0.  ],11.071717094999086,6.168565897547473,8.631935832252708,4.9132702404117135,19.916123546640662,4.858971492000887,6.987690738152144,6.461190583807954,10.164565722111325
[0.35 0.15 1.   3.  ],-0.9183274102533606,-0.8640319123077698,-1.1677494057781783,-0.9881206365038141,-0.8346867839260272,-1.086180187476397,-1.055773335289425,18.70356742259212,-0.22437554371533008
[0.35 0.15 6.   0.  ],-0.26009903166865633,-0.33694137919889844,-0.30559746905986135,-0.3610301370523242,-0.347835363540481,-0.34042868347573374,-0.3478637757573766,15.083908214089108,-0.34310813798828
[0.45 0.25 5.   0.  ],-0.15354170033234224,-0.5042538723194654,-0.2497367266324071,-0.5597041601999098,18.299113918485943,-0.5314462719297591,0.14122792088383918,-0.47260176363582934,-0.28123435599935087
[0.35 0.15 1.   1.  ],3.279917583280253,4.004247578003434,0.29640289411314014,2.9372283276418516,2.5817595657592776,1.881272695629056,1.3410228979325411,19.093828326931742,3.097795395841771
[0.35 0.15 0.   2.  ],2.1299377522689307,3.7773574058068284,-1.159854477636908,1.0331353529072198,2.918037023591018,-0.2375722901915372,0.2687860387110367,19.074694692770503,3.537543502864479
[0.45 0.25 0.   1.  ],10.7764493046586,5.536813567919822,9.350551629269276,5.164754087824713,19.846542263723997,4.661131144449152,6.069322976557417,6.600478832067758,9.801168017802862
[0.35 0.15 0.   5.  ],-0.28898589417556736,-0.23994179561033274,-0.2211596962560838,-0.2444170023093099,-0.28861635811623204,-0.2187284275568182,-0.2081456937736402,5.481646327601942,-0.1979663989115521
[0.45 0.25 0.   4.  ],-0.13749855973257763,-0.3751860372584092,-0.2959291046007161,-0.42043688084574454,6.767694859355606,-0.5914459894497696,-0.40225533040755734,-0.004026260251425804,-0.12711759441958398
[0.35 0.15 2.   3.  ],-0.09224120246367958,0.22850528925097482,0.010957351804626553,-0.002678596736389388,0.1325448626687299,-0.019998872396354547,0.04618881487865899,18.99108529877659,-0.030604063040602758
[0.45 0.25 1.   2.  ],1.062338308731137,-0.2874601196767843,0.2826014840789533,-0.6332713280509292,19.635929941259754,-0.5946852212382171,-0.576734998354507,0.19901411508363537,1.0786034421608823
[0.35 0.15 4.   2.  ],2.191370935087679e-05,0.06574436199568151,0.04956992012471815,0.04659914455452183,-0.05698641046107658,0.05895098761344526,0.07164460370753091,17.311971050144418,0.14975918161078072
[0.45 0.25 3.   1.  ],0.2655320941401099,-0.4089070839795069,-0.41413492427565773,-0.9700998568263461,19.254161777286388,-0.9627702760942971,-0.21985455825012346,-0.7766771044958086,-0.014641827380659417
[0.35 0.15 4.   1.  ],-0.2958021247945589,-0.3846807139982094,-0.404046247617626,-0.495751211119893,-0.28725462033983185,-0.6440970681258519,-0.4919003454431529,18.03477953063672,-0.01352591110317522
[0.45 0.25 3.   0.  ],0.956809620832697,0.7502399957494532,0.5102034731436624,-0.7647738789438013,19.577910683459848,-1.1447624182537919,-0.5520426386960803,0.29488955317463983,0.7123387620986465
[0.35 0.15 0.   4.  ],0.025748325310507886,-0.5580502718762301,-0.659525944825237,-0.5796521528680875,-0.7011510004408668,-0.607745041024873,-0.5751205499999247,6.115362084116037,-0.32623356106510837
[0.45 0.25 0.   3.  ],1.2062104451389266,0.43385874506793476,1.319433055276493,-0.4509340661451162,6.6536832945838835,-0.9657330628822655,-1.0159021138139885,-0.04032104955906089,2.1284489857488436
[0.35 0.15 5.   0.  ],-0.5351570286941788,-0.45158820771529395,-0.5102549134992493,-0.4523527144210984,-0.484748843046242,-0.5287699720046,-0.43021007432096575,17.413117287768653,-0.1939419219937033
[0.45 0.25 4.   0.  ],-0.4858439535026644,-0.7701797311090749,-0.25715086245732943,-0.6471096027840928,19.186864700913176,-1.1026424025947614,-0.774049572685242,-0.3819937001812945,-0.8076846395012987
[0.35 0.15 2.   1.  ],-0.8463256705340547,0.08006986024512869,-1.9594957100152084,-1.2241627706153664,-0.1506288488977739,-0.9310320384079382,-1.3681221109642827,19.044648598959558,0.6948507785113079
[0.35 0.15 1.   2.  ],0.07537891121081441,0.4726294940704228,-1.6305189630756296,-1.3254212435389594,-0.4438419131571353,-1.355173059903388,-1.2889008306551872,19.015478521115234,0.6145111804630756
[0.35 0.15 4.   0.  ],-0.38846942890443514,-0.13529426831975355,-0.8324681335009774,-0.9230115314839408,-0.90718388679417,-1.0889447538454538,-0.7995725223494069,18.42572930399009,-0.7169465407682654
[0.35 0.15 8.   3.  ],0.016791722922919403,0.005336779071558086,0.010480596472148062,0.021349882065413654,0.005477611535331022,0.08403174963682891,0.020639771879893836,0.02994431763180743,0.02727169610752585
[0.45 0.25 7.   2.  ],0.03213974870365025,0.08420539276794889,0.05269585039872414,0.10289259619885428,1.4075634537058979,0.09936272986642515,0.05849087650646128,0.06001493236033269,0.040002993057522036
[0.35 0.25 0.   0.  ],0.189242993896501,-2.2750964512631,1.821583067627115,-1.35073973566748,1.5956380558770797,-2.0442813848517756,-1.4382870487490191,18.003449922174088,-1.537306691433694
[0.25 0.05 0.   0.  ],-2.8063624609173408,-2.3252803115389358,-2.8372257907389513,-3.3590464189491653,-3.00942164169114,-3.214563575055499,-2.9431715358533084,12.868439947643514,-2.0312384594012904
[0.35 0.25 2.   0.  ],-1.4675795459710383,-1.8702570252744128,-1.292417019851584,-2.0624172743177476,-1.5336442298091226,-2.3548267723026877,-2.044314481469391,16.62816786100982,-1.7479055144688327
[0.25 0.05 0.   4.  ],-0.16621075125992762,-0.22305106840050182,-0.17356580734359686,-0.2161665887615479,-0.42616326265004995,-0.16746541276760646,-0.19765309474216483,-0.2259517304081742,-0.1777364616008128
