,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0.  0. ],6.402119185566862,4.596607305011763,6.17237878137332,4.3450535207745,5.712538766068891,6.016094687540862,5.381070196858155,10.324111870333105,6.688033599670291
[0.5 0.3 0.  0. ],6.378774608197934,6.167838791755131,6.883770681621318,4.640385717804657,10.991329019929065,5.796135814497073,4.56895861335116,6.634090869650914,6.01386928713174
[0.3 0.3 0.  0. ],-0.39036013540724984,0.009306622606129196,1.2368753948146496,0.007551906257555363,9.821805472764632,-0.32868210840199946,-1.5149914033770269,-0.36160759925630764,-0.1865346941697205
[0.1 0.1 0.  0. ],-0.959579571464145,-1.2458245015704654,-1.8207051392140468,-1.6236504641833576,-1.5892838049105953,-1.422326321258804,-1.81001562181024,6.975295463252598,-1.758080286955513
[ 0.7  0.3 10.   0. ],6.209627972105174,8.281378975371165,5.906593812900383,5.473368985945947,4.4956821284079,11.582585061725583,8.538925101524969,8.173230833130596,3.797704873999861
[0.5 0.5 9.  0. ],5.816650318611465,6.381276331032632,3.582803319776105,7.393567389382025,7.214915855098025,12.185423097038656,1.984478299987778,3.6341889803223406,6.608171216499276
[0.7 0.7 8.  0. ],-0.20539698864784742,0.0,-0.09253088919452776,0.0,0.0,-0.0827431192749562,5.674093496850835,-0.0827431192749562,-0.1863592770081623
[0.7 0.7 7.  0. ],-0.09513606588937072,-0.05680756414193536,-0.13750983202107317,-0.06122400913028999,-0.09513606588937072,-0.07852840330803657,2.0861381347476953,-0.22642167880461928,-0.09513606588937072
[0.7 0.9 6.  0. ],0.0,-0.09104653120138456,0.0,0.0,-0.08691568808220664,-0.06562709361551085,0.0,-0.2623299789971464,0.0
[0.7 0.9 5.  0. ],-0.0827431192749562,0.0,-0.12264035639818364,-0.047808962495597754,-0.08691568808220664,0.0,0.0,-0.2424314412880982,0.0
[0.7 0.9 4.  0. ],-0.23982973867484667,0.0,0.0,0.0,0.0,-0.047808962495597754,-0.03285975722441427,0.0,-0.08691568808220664
[0.7 0.9 3.  0. ],0.0,-0.06997082267935574,0.0,0.0,-0.20351677679925018,0.0,0.0,-0.07852840330803657,0.0
[0.9 0.9 2.  0. ],-0.061239488500516005,0.0,-0.07852840330803657,-0.052330872870641774,0.0,-0.13014981330585979,0.0,0.0,0.0
[0.5 0.5 0.  0. ],-0.981769558778248,-0.7237774344026225,-0.06447459350108514,-0.7344365142947012,-0.8463606981412285,-0.6371031066253529,-1.058950170287352,-0.8595557067395058,8.258839026348683
[ 0.3  0.7  0.  10. ],2.352934797216517,0.806840873864503,1.222867457005638,0.8636421065894814,0.31554706011920175,0.4319710258209848,2.424120982738582,3.6310650312102046,8.495493897188842
[ 0.1  0.9  0.  10. ],-0.37923625842058656,-0.647541394520295,-0.5741804540884871,-0.44820067510255696,-0.5255893282287012,-0.605386012237899,-0.4923713292467498,-0.4210465226421369,5.561994908316048
[ 0.3  0.9  0.  10. ],-0.5709892042427872,-0.6370233160123829,6.497671965415899,0.056591084411372235,-0.04011584785060636,-0.7752280712928129,-0.5989296011469645,-0.6751665850919253,-0.4283627319777989
[0.7 0.7 0.  0. ],-0.8176983063811529,-0.637893092888133,-0.7998531370831747,-0.646192346180967,-0.6554485009981569,-0.6725314509041846,0.34124482786026056,-0.7545470968276523,-0.8853454075156428
[0.5 0.7 0.  0. ],-0.6644484453400722,-0.6285813295991353,0.6775256192351665,-0.5985114624206515,-0.593962722999653,-0.588206410096835,-0.5631529656937297,-0.5765626227299223,-0.6536046909439386
[0.5 0.7 0.  9. ],-0.21327677060025865,-0.34769677847573804,-0.05496732727517538,7.253115219467134,-0.2670596124151032,0.14130797346759838,-0.2845153755719868,-0.2716951261280426,-0.21208083985431195
[0.7 0.9 0.  8. ],0.0,-0.05680756414193536,-0.06997082267935574,-0.1030552817864318,0.0,-0.08989831143854439,-0.08327100677527555,-0.1913549295288559,0.0
[0.7 0.9 0.  7. ],-0.11845610450735042,-0.1934998329190001,-0.14500288137477926,-0.1437144160403738,-0.14827615250021528,-0.15736370596897278,-0.2066260363315239,-0.17544868581579878,-0.13384831517280119
[0.7 0.9 0.  6. ],-0.09104653120138456,-0.15872270249480638,-0.17217038971292806,-0.1786941989576408,-0.11108932030042662,-0.14113473370086244,-0.10032853300387044,-0.12203402767821364,-0.10716092959639052
[0.7 0.9 0.  5. ],-0.07427111445256218,-0.17217038971292806,-0.06997082267935574,-0.10716092959639052,-0.2424314412880982,-0.08691568808220664,-0.06562709361551085,-0.1632787381079521,-0.14400548063581164
[0.9 0.9 0.  4. ],-0.16885897950800813,-0.10319285817817224,-0.11882864282644813,-0.09513606588937072,-0.06562709361551085,-0.06997082267935574,-0.06997082267935574,-0.0827431192749562,-0.06562709361551085
[0.9 0.9 0.  3. ],-0.07427111445256218,-0.11108932030042662,-0.047808962495597754,-0.15872270249480638,0.0,-0.07427111445256218,-0.07852840330803657,-0.052330872870641774,-0.10319285817817224
[0.7 0.9 0.  2. ],0.0,-0.07427111445256218,0.12429467139752538,-0.07427111445256218,-0.22086693072606803,-0.14472338636385382,-0.05680756414193536,-0.05680756414193536,-0.14827615250021528
[0.7 0.9 0.  1. ],-0.1059389953026642,-0.11604596832850826,-0.17688464821358957,-0.19749696643123169,-0.13521234605935153,-0.10378492338165915,-0.07495010662521896,-0.24612605952692684,-0.11842027244610931
[0.7 0.9 0.  0. ],-0.7326998699724618,-0.7473938720309504,-0.7167541681573893,-0.7125332468546209,-0.5574104327132913,-0.7924526852281761,-0.5592267829224767,-0.6489941260123472,-0.5513645415501566
[ 0.7  0.1 10.   0. ],0.492269607658434,10.504341901040993,0.671899018765139,1.1650559644186433,-0.46169379027840957,0.4223615138085617,-1.0880414501567037,-0.0003327677459597639,-0.14505102761084915
[0.5 0.3 9.  0. ],-0.42967257059384045,10.418261310199442,-0.44893366277375196,0.07326923929343214,-0.14707141756782605,-0.5199512135672583,-0.3480220389047028,0.6999747336617484,0.22137539769694745
[ 0.9  0.1 10.   0. ],-0.3371129877140549,-0.38054809496880593,-0.8503910911060375,-0.7041975989762699,-0.8455540345191342,5.942074189883558,-0.7329871071044292,-0.5178430482172862,-0.6345720546090127
[0.9 0.7 0.  0. ],-0.5133535883700786,-0.556500609235534,-0.8251145720287049,-0.4740635188137933,-0.5140322264350325,-0.5713059142849515,-0.6356547653711621,-0.5482759713642714,-0.5867475015010424
[0.9 0.9 0.  0. ],-0.6778571406584456,-0.8063018402115669,-0.6391042125134643,-0.718237777542799,-0.6479493790429637,-0.7890929989839007,-0.6160689288412422,-0.6151299408860899,-0.672627590006477
[0.5 0.3 8.  0. ],-0.14554329237192223,6.827901367702856,-0.2135284934846173,-0.4042052275774726,2.611647470924998,-0.38293205611727604,-0.3472704870358477,0.26569305843047825,-0.39368456669392854
[0.3 0.1 7.  0. ],-0.06997082267935574,-0.06997082267935574,-0.033967326046505,0.0,-0.07427111445256218,-0.19444138023356736,-0.22365826141880735,-0.053658699720721334,-0.10716092959639052
[0.3 0.1 6.  0. ],-0.10128465502361676,-0.12980704739880095,-0.297634013660838,-0.11882864282644813,-0.27796090227585646,-0.075810869691417,-0.1294551138694784,0.03903285059523591,-0.12288662982823366
