,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.   0.  ],88.37485556539046,85.50262907091496,76.17212521706755,83.2083338600674,83.03369262947302,79.1976693462845,80.98570748112517,94.22650721893588,86.92465643829723
[0.25 0.15 0.   0.  ],4.002549936045725,1.1466029839535279,0.9092524127496588,2.456273147757031,20.421687852169857,6.911248255755612,5.73342146012715,89.19933695559378,9.708694669180938
[0.15 0.05 0.   0.  ],-1.3995883425983375,-3.257889784204474,-2.585046505073429,-3.7015714986728705,1.0874680159295838,-3.1511919021876205,-0.5335377803168871,6.737470003153524,-2.1029836802769335
[0.25 0.05 0.   0.  ],2.166754619124335,4.487203623426169,1.136832140837299,-1.27968091263373,0.31971330751879057,1.5371274889661886,4.3561110343832645,85.79529875354402,2.079563556402463
[0.15 0.15 0.   0.  ],-0.5848059522019127,-1.0560770448994439,-0.06297790695763192,-1.9613882232380582,1.7875912330727641,0.0008756884829385636,-3.246124768761379,5.702454007898892,-1.280528393487289
[0.05 0.15 0.   0.  ],-4.023027835266746,-4.084973287960458,-4.023743267163474,-2.4719685643864806,1.1489680543085785,-3.725697580545928,-4.0790755856596865,-4.00666878470902,-2.6616976975325564
[0.05 0.05 0.   0.  ],-4.041768890163767,-1.998837348525528,-4.040572538427335,-4.028811721682319,-2.925483101346227,-4.005241391155437,-4.0546086458349215,-2.347029900800532,-3.9539444429034605
[0.25 0.25 0.   0.  ],5.672813584338493,3.448493850146342,0.3906886472712914,3.146212493336092,2.364810216353596,2.5986525998883665,3.252941574977489,80.66089365061019,17.592191094777757
[0.25 0.35 0.   0.  ],1.1579960117326316,0.35769516627280995,2.0003342012707344,1.5790157084133851,17.55473375363445,0.618563254876494,1.5292429687340163,0.689330341961874,0.6066024131443308
[0.45 0.25 0.   0.  ],81.86585115388222,90.46581786516948,82.07353747469227,81.33956764701244,94.85203856138314,75.25747892161546,85.58882204350577,92.28736959802463,71.13538787589113
[0.35 0.25 0.   0.  ],3.4393773708903215,19.474940787327878,30.35950812747506,15.162072722817857,92.97492032992433,9.64311191509399,7.460895667783195,33.47033943504169,3.0015276385133975
