,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.   0.  ],-1.945897600343113,-2.0988653460155486,-2.194810778248226,-2.1818462872715956,-2.0603618452269465,-2.1825055537566396,-2.1932008206683533,1.9140602215545932,-1.84864464636548
[0.45 0.25 0.   0.  ],-1.379020466174762,-1.6452725115942033,-1.361377257004435,-1.5815471403896568,2.4981404307754076,-1.6294725162379684,-1.5165636629242616,-1.6093803086073644,-1.4437370377197896
[0.55 0.25 0.   0.  ],-0.9989800499242522,-1.0531682481819604,-0.8782479768735577,-1.0613534235022561,-1.0660641700839968,-1.1632608313138513,-1.055737116847629,3.0196311908100864,-1.1550482900440016
[0.55 0.35 0.   0.  ],-1.1168915809624718,-1.1719625013950563,-1.1725628208843293,-1.1754657418688736,2.571887427796538,-1.1702102162564496,-1.1730116039252152,-1.149596115012573,-1.1690257522041445
[0.35 0.35 0.   0.  ],-1.5686429851345094,-1.5681565672218587,-1.5678893343068456,-1.5642977903761321,-1.5659814588339118,-1.5689468771068455,-1.5696039340065362,-1.5643684734931995,-1.2731077052669442
[0.45 0.45 0.   0.  ],-1.1321584974973693,-1.1281100867182703,-1.1301612127491443,-1.129791167758541,-1.1299486131579153,-1.1296455836047197,-1.130363411863936,-1.127595720758161,-1.1295972750685839
[0.35 0.25 0.   0.  ],-1.7753142217336004,-1.7873995734374408,-1.783645777196179,-1.7924414173240901,0.8973087423128573,-1.7865885794628231,-1.7972348213208684,-1.7870569592367314,-1.7875102536276193
[0.45 0.35 0.   0.  ],-1.389780554957657,-1.389060685056183,-1.3887952178654663,-1.391520960943655,-1.3884500881266957,-1.3907115213771881,-1.3936892866210293,-1.388274738787653,-0.9241056821524765
[ 0.65  0.25 15.    0.  ],-0.7920558622180579,1.9511589430656957,-0.7964709474620665,-0.7945281462117539,-0.7940946870041038,-0.7921817544755005,-0.7945200716493546,-0.7944300416144932,-0.7922015145953365
[ 0.65  0.15 15.    0.  ],-0.7780448498987989,-0.7565196905413921,-0.7788477853118985,-0.7803448391680571,-0.7756523036242188,-0.775852335263259,-0.7754533035277926,-0.7768077419256278,-0.7757303614696104
[ 0.75  0.25 15.    0.  ],-0.6420131057716283,-0.642276521374923,-0.6447982958096612,-0.6423070539968961,-0.6432831429551928,-0.421186587264163,-0.6464797078945103,-0.6430370227378323,-0.6462315203980065
[ 0.85  0.35 15.    0.  ],-0.5543070684061342,-0.554103855043241,-0.5499992157908375,-0.554345273541703,-0.5494215336669704,-0.549745829662794,-0.5505376747958824,-0.5527568446838532,-0.5523433311303505
[ 0.85  0.25 15.    0.  ],-0.5591232264837654,-0.5614453801351127,-0.5621602534820163,-0.5616368456085562,-0.5596760821233872,-0.5600276845823194,-0.5592459972032959,-0.5591156814643936,-0.5616564225681194
[ 0.95  0.25 15.    0.  ],-0.5144529584696913,-0.5129485643710064,-0.5140877719428705,-0.5153142429142376,-0.5143293176068495,-0.5174327430529435,-0.5176236403103572,-0.5142108807299246,-0.5134010715725507
[ 0.95  0.35 15.    0.  ],-0.4992694664343769,-0.49896142657044534,-0.5020106795059575,-0.4996776137784714,-0.498305742086066,-0.4976541748059459,-0.5011650791463567,-0.4986850494537224,-0.49963510704289105
[0.25 0.25 0.   0.  ],-1.873535639792624,-1.871992907239692,-1.873907907179239,-1.873007912361495,-1.7878130053977155,-1.8707365572418877,-1.8750933387258502,-1.8716683896639408,-1.8716578792354133
[0.25 0.15 0.   0.  ],-1.9737143785587423,-1.9722894863232665,-1.974745274755571,-1.9711893081825966,-1.7024839304823383,-1.9740985620159859,-1.9744179610068604,-1.971458370535465,-1.975374023970555
[0.25 0.05 0.   0.  ],-2.007652556050477,-2.005020936069994,-2.0076092982250877,-2.0036358919351263,-2.0081399503845683,-2.0051728990368014,-2.0054757572259683,-1.7845656468867008,-2.00392597767131
[0.15 0.15 0.   0.  ],-1.922491512552747,-1.9205101729803058,-1.918910991987319,-1.9186477836644102,-1.9229659930969099,-1.922647984329722,-1.922339943266827,-1.9205204253284014,-1.9192414109227636
[0.15 0.05 0.   0.  ],-1.9280496149646797,-1.92503672112287,-1.9247705181185988,-1.92482887126175,-1.9257839082093233,-1.9278921398758155,-1.9283313968260412,-1.9261853483309554,-1.923397152405469
[0.05 0.15 0.   0.  ],-1.8809659831031833,-1.8810469983957807,-1.8819454522579961,-1.877939187566807,-1.878669945150414,-1.8816211297431527,-1.8814460886145592,-1.881270164992592,-1.8799603788915944
