,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0.  0. ],-1.1557973368250192,-1.1703815516759675,-1.1515620428306805,-1.175089076060755,-1.1644575226211686,-1.1655322440909102,-1.1690952714338352,0.3329552918008373,-1.1639170761277124
[0.1 0.1 0.  0. ],-0.9370508990412543,-0.9375112197854133,-0.9375416179781277,-0.936729420970953,-0.9267438632234202,-0.939625481468795,-0.9358722173138082,-0.9352889736690019,-0.9363097498525722
[0.5 0.3 0.  0. ],-0.6652777720096367,-0.6820899926973059,-0.659702639755657,-0.6900082271365935,0.9831446642440584,-0.6716403631976261,-0.7012369434539159,-0.6675580969236754,-0.6724937777731806
[0.3 0.3 0.  0. ],-0.7978188201987048,-0.796030692191394,-0.8000751520067417,-0.7957576704842734,-0.5305696690936018,-0.7968333948353501,-0.7941941352748334,-0.7937554819352387,-0.7931098205327416
[0.5 0.5 0.  0. ],-0.3889019159047596,-0.3852586882825537,-0.3847243004671979,-0.38725586666893164,-0.3865617245807659,-0.3872787792665286,-0.387202958749061,-0.3849837465109342,-0.3477885431366582
[0.7 0.3 5.  0. ],-0.22094574267504513,-0.24179631267566587,-0.26753996591480916,-0.2767813784083919,-0.2682608596013465,1.6238545843642855,-0.219411437380109,-0.20830929064187004,-0.26050477611703554
[0.5 0.5 4.  0. ],-0.01808972305643775,-0.0367693722996003,-0.02563268603336806,-0.026795731892576034,-0.018412351988893336,2.2613438198560774,-0.05328380958074739,-0.0148505,-0.02918247474271682
[0.5 0.3 3.  0. ],-0.039117701227760676,-0.036598438498780514,-0.03906828641183945,-0.03877600928103995,-0.015989667184254278,-0.03897563865022482,-0.03882447571608995,-0.039212790207664494,-0.039867046435797825
[0.5 0.5 3.  0. ],-0.014375353852347627,-0.005,0.0,-0.008966948322577824,-0.009277150852579845,0.9147946032064087,-0.014900449999999999,0.0,-0.0050994005
[0.5 0.7 2.  0. ],-0.005,0.0,0.0,0.0,-0.005,0.021733907379688406,0.0,0.0,0.0
[0.5 0.7 1.  0. ],0.0,0.0,-0.005349619670960196,0.0,0.0,-0.005,0.0,0.0,0.0
[0.3 0.9 0.  5. ],-0.36982144716675086,-0.3696536082907675,-0.3661344787393315,-0.3698961865188775,-0.3698620656547457,-0.3698452141198681,-0.36769515293381816,-0.36986498240624754,-0.3665603750607896
[0.1 0.7 0.  5. ],-0.3397433000832899,-0.3428932798667571,-0.33978678964275805,-0.33986959390306964,-0.3439526781230573,-0.3398861250539285,-0.3398861250539285,-0.3445025338243566,-0.3404845836722298
[0.7 0.7 0.  0. ],-0.1199697132725591,-0.11662569593961848,-0.11960611060232486,-0.12045749087764239,-0.1187793873433103,-0.11985125112124295,-0.12053212802516797,-0.118284637958564,-0.11978423422970884
[0.9 0.1 5.  0. ],-0.1847076375914042,-0.18454889982258021,-0.18481129410260141,-0.18589313417409264,-0.18490690391446313,-0.159666528115991,-0.18472168903619834,-0.18490948562965692,-0.18471725043457798
[0.5 0.3 4.  0. ],-0.07641541714308514,-0.07703675142080545,-0.07644155442781479,-0.0788662765505967,0.11883754132839904,-0.07632274272490522,-0.07881748293312828,-0.07656147033406883,-0.08078208162119997
[0.3 0.3 3.  0. ],-0.014999351000000001,-0.0149499005,-0.014999351000000001,-0.014999351000000001,-0.010082097460122768,-0.00999995,-0.0148505,-0.013906842567241326,-0.0149499005
