,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0. ],44.89363658376315,50.319890101586,48.24629962658755,26.59480496143392,41.05699817592057,47.40968818237705,48.41743975656575,133.09670372034773,44.0198885765328
[0.3 0.1 9. ],44.44907468356286,44.47984552533291,49.056760838046245,22.03634021350131,45.335809436013854,58.724052072081065,56.079517703528076,138.04462586752462,48.18380957348402
[0.3 0.1 8. ],45.29559124260916,52.01623943809079,60.337614465310374,30.790508743558195,49.8562672870614,55.93990775225456,61.16080880793459,138.05338928308092,55.84887001329907
[0.3 0.1 7. ],41.21778626772435,50.56567550351382,59.26165214319895,29.323302100915512,47.1824558628657,51.92463338582708,55.916453281751174,137.11431133345545,45.45960760893611
[0.3 0.1 6. ],51.1908848131641,49.702928039151814,54.04835779614626,31.585426413169884,46.213124955106245,64.56171794908278,55.09109554021857,137.25328325231962,56.140600493804186
[0.3 0.1 3. ],44.7526601111124,41.88565624129133,51.352290696417654,28.419798763081626,44.116305432683674,59.93760004268377,55.91529163296333,134.72818688022215,44.549706357589685
[0.3 0.1 2. ],39.85960507288986,48.90203565710331,53.960059191111576,24.202515774450834,41.225279726677826,54.43976797232557,57.01157010350895,133.60191510623744,41.973737622878105
[0.3 0.1 1. ],42.602596796861974,43.84163815736017,51.311054897897165,25.766129283260096,33.64890250620041,49.53041038932265,55.00577697356494,133.1225549716816,43.198065991963595
[0.3 0.1 5. ],46.790011693004416,43.24950129206262,49.98969667062905,29.763282932390386,41.896072484990135,55.0002757167566,48.654170170727774,136.37181545881757,50.544869799214716
[0.3 0.1 4. ],47.365157011071105,54.978422582260436,59.15711572037047,30.699940484480585,41.03751809149311,56.16928580467344,52.64656166900345,136.3126395915714,48.94507108150435
[0.5 0.3 0. ],57.08024205839431,16.18256110448759,57.337838237376225,52.99488581825544,30.147763849577483,63.39699407338356,131.36506619529604,49.598210468465396,135.22779727844932
[0.5 0.5 0. ],-0.009630683288746677,-0.40802558609808665,1.983474553356563,1.0908349804778483,0.4454916409143199,-0.47042323041851697,0.7534030503051911,-0.316270647404636,37.850676280068384
