,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0. ],96.8477037783745,38.02043529177898,49.46506697310587,45.14095735803858,66.2041882037282,67.45740167305883,70.61856628437592,210.14429838816207,89.91776668724418
[0.3 0.1 1. ],39.67658845593835,25.625287479208957,25.53122368750599,28.792901288800095,31.2503509097536,32.700588083687975,30.257582276029954,209.92288403843574,44.89831591395482
[0.3 0.1 2. ],28.171379527906247,11.84595351505872,13.371003100289078,8.640145036546873,15.536041067245002,19.019742796669078,17.75689137765226,209.82059365267872,23.274947872971005
[0.3 0.1 3. ],12.054079870857421,11.245807838719385,15.29566715919911,3.881333071949124,9.682277987094002,13.211344816729135,9.378965494841115,206.47867277924442,10.289981844569677
[0.3 0.3 0. ],4.845636221783303,5.339212802013693,6.90046748235003,8.507907372211784,203.7853092013016,6.525780870206205,9.828225878253567,11.044024768151486,8.813372380635402
[0.5 0.3 0. ],116.38838811984789,124.74346471154347,124.26876762037158,95.00056052885597,210.56071879410132,209.40723241172213,138.88321500550157,98.78907369479099,73.7118711771767
[0.3 0.3 3. ],22.24623451133724,23.784929120475404,6.686282352696123,8.648235766322633,209.80579969575814,17.786071938395715,2.2165350502894636,5.807814603922847,6.00424882947962
[0.3 0.3 2. ],12.499186890702745,22.34531538211285,6.026105444736721,6.703663125998218,208.37189281161443,11.99059813852137,6.687894884577399,21.540579614169303,10.679691562960995
[0.5 0.3 1. ],105.5581955652931,126.19881146873976,116.72555763093084,107.0836620073984,209.93816378444274,209.80840261798008,143.6396592940007,115.98091809045923,99.36131753986511
[0.3 0.3 1. ],6.589605947678941,8.429012568328035,5.466582241600386,14.109199847176075,205.41825486150168,11.123265859914962,7.537888364975985,13.913113978867052,6.410955466784059
[0.3 0.1 4. ],5.885321044460047,3.4027963387513545,7.2410809782529935,1.0686482444662113,2.5266578707572673,3.4787491640814845,2.090966988586529,192.5263750787156,3.8205342089748413
[0.5 0.5 0. ],9.121584005112311,0.639624839651507,201.03500671544765,4.54789398392818,7.579957452519006,0.6585539795188576,4.8035467666505385,1.7206296329057214,75.3699336979939
[0.5 0.3 2. ],119.72610950356555,139.75628559184761,131.6491242164379,145.45627082860173,211.24873143813443,210.85093744429525,150.18475456802042,142.51675646432076,96.67428814675972
[0.5 0.5 2. ],46.725280376524935,1.3730659709841913,209.06583373033007,8.38112754103805,21.754973426141984,4.101416333841101,13.7855310773647,3.842276233508129,67.41247026448721
[0.5 0.5 1. ],10.846286523927906,2.5869832008634885,206.72520666268767,4.443634385804858,12.670226335855261,2.474046152967888,7.3109966226030165,2.3992558061624947,80.62069785747462
[0.5 0.3 3. ],125.8907015940619,148.28710838272588,143.7227885096173,149.37811253416317,212.72193773264695,211.96959703070755,152.71489044980402,169.61312915745933,114.42668747616938
[0.5 0.5 3. ],28.694473972349055,1.053277297299547,210.69098640975156,7.80129616851799,23.326868197752113,1.837268421760806,5.519830526436288,3.842023799968151,48.528014600715686
[0.7 0.3 5. ],25.32314384449668,36.33679711649965,18.071725566072857,213.19432919946618,2.9927339385577567,26.149598076096442,23.45063518559654,25.327966261976286,2.8891019661915944
[0.5 0.5 4. ],19.487940779752442,1.4697114702575031,210.9011154066074,9.817657578100597,21.959021113114346,1.3579453143339493,4.134735339049396,1.5420117753158946,27.671542749359343
[0.7 0.3 4. ],74.94222917357656,103.57506732469396,49.01630047322371,213.22336622281833,6.006654051267113,73.92945062817053,72.94718725092277,63.782441836667225,5.465698470237168
[0.7 0.3 3. ],40.45963481891718,46.349447837453184,21.841893430601708,212.10248552206932,4.284390347966606,39.63676009493967,29.290378056197106,32.393292472382655,3.003905997473413
[0.3 0.3 4. ],4.347640585653383,13.881337948903935,3.195420395601725,4.724518351785529,201.9806913419241,7.819522391491873,0.567906205370955,5.746843734241224,3.0827107049454847
[0.7 0.7 2. ],0.3590996499753076,0.1091400528911402,0.7782846722335586,0.01,0.19607714518998848,0.2941741059004613,13.973456096114587,0.05753207256532974,0.4744035124744377
[0.7 0.7 1. ],-0.010960502826178282,-0.25292411123634834,-0.05703278935237298,-0.06793465209301,-0.45295597920369957,-0.28828663014477424,14.91264048304923,-0.19711189913623747,-0.27747159901730845
[0.5 0.3 4. ],130.6942775815369,154.59812635379706,121.77359541753512,147.40058171650014,211.66652504866013,213.09374572889752,150.78340535127185,166.99638284026904,123.185175477487
[0.7 0.7 0. ],-0.21143971868914935,-0.5346876925296133,-0.44490048132138765,-0.1654862385499124,-0.635592846225149,-0.3033931084790964,14.20964847404868,-0.2537275914293296,-0.5683751364550533
[0.7 0.1 5. ],1.054060362518803,1.6335671447942122,1.165724830301233,2.217972534316664,0.4950971850758263,161.3826884748897,1.463704424962843,0.7092493997391816,2.6313449923450944
[0.7 0.7 3. ],1.7911406696801058,0.042111069430831115,0.286295867558633,0.01058461330748401,0.21861267887555338,0.14652902372102936,6.9138922381770245,0.031581998903771426,0.3543141863580689
[0.7 0.1 2. ],0.832893311649245,0.8015222264298572,0.5832380576097245,1.3551391375104251,0.3674221909395879,113.68106486235804,1.0355954845905389,0.42680666754878666,1.0701655957925285
[0.7 0.1 3. ],2.336367642759104,2.889903503824665,1.639803714580117,3.950370016051026,0.7174641435180005,173.86928136836505,2.385814387714092,1.1556815538520884,5.070332086582639
[0.7 0.1 4. ],4.413335912569381,5.036426609386601,4.053995534139012,7.61346293384971,1.7739206452986762,199.59437039189672,4.953612597882372,2.1556124883994747,9.975383682761768
[0.9 0.7 0. ],-0.1312541872310217,-0.28430140443732027,-0.4473165228376147,-0.32427095093971664,-0.33771795901601626,-0.39529929198577324,-0.6026612637255836,-0.2158145962533421,-0.12247897700103201
[0.9 0.7 1. ],-0.029701,-0.21808519080659164,-0.17383137616441327,-0.11361512828387071,-0.09561792499119551,-0.1307152865804261,-0.2514920186118679,-0.07443619346387617,-0.0490099501
[0.9 0.9 0. ],-0.21606859384344868,-0.20686837088205787,-0.2781127677639925,-0.25514512228403113,-0.39024159315617307,-0.13866560439407608,-0.1463052262587451,-0.1294667166973654,-0.2082545561869617
[0.9 0.7 2. ],0.01,0.12933430339023716,0.12247897700103201,0.03940399,0.058519850599,0.04840181322755428,0.11326784920754042,0.00970328701,0.01
[0.7 0.7 4. ],0.18771253251879377,0.010210423171014114,0.09226102478434509,0.011653207523113624,0.08212551319055286,0.09625171960170131,2.080404284849828,0.010321492812710912,0.16644709241151498
[0.9 0.9 1. ],-0.0709314726723271,-0.091338114826014,-0.1777749039465411,-0.10446816542041412,-0.1418828837768172,-0.020098801,-0.07132928284459235,-0.05246663939929569,-0.050984087756398636
[0.1 0.1 0. ],0.5702514356675425,-1.2498173974152689,-0.4925245371152298,-1.2907540022675454,101.07443785157948,0.10617300670628892,0.6207789359074527,1.8039726710469692,0.8753660406900258
[0.1 0.1 1. ],-0.3945934653359122,-1.127471988810177,-0.5771175298869624,-0.8751024834580758,51.76693112046696,-0.31554975699497895,-0.7593808627960873,0.6363324738108455,-0.18586475603325175
[0.9 0.9 2. ],0.05753579440615425,0.0292025436954598,0.06628007359709871,0.028490807623833016,0.03940399,0.009899101999,0.01949036294562447,0.0,0.009799212978010001
[0.1 0.1 2. ],0.42819977514374025,0.23228025315803058,0.3269049525618362,0.3091403738534653,27.145131737390095,0.1884744927802242,0.19297500373517487,1.0490322032628439,0.5177892789510495
[0.1 0.1 4. ],0.08995856897428714,0.09456313143893565,0.10706181068182831,0.058539998178048974,5.816553584685274,0.04918745251453937,0.1950487113795326,0.11909616639478487,0.022120797553103276
[0.1 0.1 3. ],0.20881718663905174,0.29356261563028885,0.11282380359588841,0.08895289114933486,12.86613599680446,0.13111300672017523,0.24818825988457333,0.4237510984816114,0.14182235342873903
[0.9 0.9 4. ],0.0,0.0,0.010811848242478229,0.0,0.01,0.0,0.0,0.0,0.0
[0.9 0.9 3. ],0.0,0.0,0.02233489431067822,0.03218146273382512,0.02076852844621748,0.0103936458601,0.0,0.0,0.0
[0.7 0.1 1. ],0.2774214245418186,0.3499777318526125,0.3669876260081475,0.2591447729168068,0.10380120839875803,67.04321468482318,0.3425701731212696,0.03076034955675174,0.20352021660118405
[0.9 0.7 3. ],0.0,0.10069271248680538,0.029997712989999998,0.02469776224325758,0.020874322708983012,0.03150072400020069,0.06200293092023336,0.011292049690868469,0.0
[0.9 0.3 5. ],0.5061693461301847,0.5122018431976821,0.35509359974676713,10.075109006340002,0.6122697923295968,0.5733125318936992,1.8893651219164729,0.52818475957743,4.655739528533518
[0.9 0.3 4. ],1.6202682243464908,1.5966804208408434,1.3660254352218388,29.49976270134914,2.1166362363175337,1.7243548930855557,6.720451947366118,1.73422737429054,5.495334172780539
[0.9 0.1 5. ],4.799795178501644,0.4398028397553394,0.35613716133821455,0.7289841581607546,0.2538512249240493,2.443133854258647,0.39072826948461964,0.430005763632318,0.5069021230599916
[0.9 0.3 3. ],0.7436711105313205,0.8310070245081967,0.5417472483446681,17.829381747407407,0.8799373462220589,0.9108315050086889,2.3682023334368205,0.8959149003127304,5.0899689468331575
[0.7 0.3 2. ],20.783617675845306,20.20765076691336,14.048405919987475,210.3930876369864,1.8642339367862277,17.10166974214763,12.24426834633941,17.21171453354616,1.964415203953746
[0.9 0.1 2. ],4.282234395444524,0.326424941161162,0.2623577904898671,0.4803821164579256,0.16426673480804477,0.4071750574863392,0.2836636622755318,0.2328311708798128,0.3537563023451646
[0.9 0.1 4. ],5.6446329352563644,1.3630678917445593,1.3288577316181904,2.7139246620153745,1.076933676858057,6.978414249144203,1.3018854298245468,1.6612386193187205,1.6143710264034448
[0.9 0.1 3. ],5.1450984754194975,0.6081690400005415,0.5906516204819444,1.246083711993367,0.5679335546836632,6.071506694224003,0.6748998168125193,0.5749909138150648,0.7943109024056487
[0.5 0.7 3. ],0.033072108442234086,0.03298444409203649,2.0431788365811285,1.465573614756976,0.05700671696726581,0.0411346780604035,0.02182707441022553,0.010835144518307504,0.03226522118257592
[0.3 0.7 2. ],0.15304434976581854,0.06773585109301,0.23765728565289626,0.1995691727068259,0.0199,0.3707203743222957,0.18205433496520523,0.019997164487673955,21.283747510769913
[0.5 0.7 0. ],-0.3355247351793381,-0.41522148277931287,22.573398023278546,-0.0249959798800842,-0.351346321995376,-0.500926051339146,-0.6485240475164823,-0.17184380669174845,-0.4848628825761964
[0.3 0.7 0. ],-0.0490099501,-0.33680865371612334,-0.3170724720800221,-0.3928589202077464,-0.058519850599,-0.40011827033168645,-0.1476710131128561,-0.21377949709471414,27.623866928960215
[0.7 0.9 0. ],-0.3530185292337772,-0.32779674140385795,-0.11507464789285118,-0.3767088141031975,-0.28272024494226083,-0.2631013509750887,-0.33717508787238326,-0.6088125570289555,-0.3575659767219164
[0.5 0.7 2. ],0.03890459532203856,0.0862839515163591,1.954697563120491,0.6074273281797732,0.0502890323795424,0.058519850599,0.11425733105473049,0.05618100869051878,0.11361512828387071
[0.3 0.7 1. ],-0.10466174574128355,-0.1425509917262829,-0.1901454498548934,-0.2175484462987506,-0.029701,-0.3746452082699792,-0.050804170981043006,-0.09549124306734748,26.28392426820955
[0.7 0.9 1. ],-0.14326363808386972,-0.06087456180637846,-0.07225994850202996,-0.22707565673532845,-0.07954686538544746,-0.12906047125290915,-0.1312541872310217,-0.222482583352426,-0.12639571512513337
[0.5 0.7 4. ],0.0,0.0,0.05657599124367463,0.4083989808283636,0.0,0.010419421714328612,0.034873330084700865,0.0,0.011741466645803465
[0.3 0.7 3. ],0.2102066323718706,0.02096552636276508,0.04385701714751323,0.23511269167663318,0.0,0.1930860906299609,0.2530840776579971,0.010296712990000002,14.813573627902972
[0.9 0.3 2. ],0.432084966459716,0.35087565769472284,0.19935577975243907,2.2248429815173205,0.4549997588880807,0.45354053305989217,2.1751020857058827,0.2630506776013136,4.074744375007911
[0.7 0.3 1. ],7.598537608506598,15.903416611316029,4.9626423321242585,203.74018848265774,0.7406423492996128,5.579177981052046,4.864504505625856,4.565368415850005,0.47445181753118143
[0.5 0.7 1. ],-0.10402849715840484,-0.15976082180565318,8.364193050788252,0.09426928040191757,-0.18102481737330672,-0.18194818645896477,-0.3145902149117167,-0.13336142490978886,-0.26769663034560237
[0.7 0.9 2. ],0.029201575516370967,0.009500575516370966,0.03983311528949224,0.08359804988063112,0.029701,0.01931140469846592,0.029502199,0.06420829649847418,0.06734419324291
[0.9 0.3 0. ],0.04121692632695351,0.05861692041721347,0.05620365999984073,0.27612232580481894,0.08864358505403207,0.08070310219258557,0.06633151857027897,0.013303077472132701,1.0897103896732285
[0.9 0.3 1. ],0.19708598668557065,0.057143731842436,0.08500761935635681,2.2549235420796685,0.13501023872631326,0.10216274992883274,0.35990211244785025,0.12151465691149246,2.405086607162704
[0.7 0.9 4. ],0.02031874211031809,0.0,0.013539598721717108,0.0,0.0,0.030320368270520728,0.0,0.020523825493695615,0.010299677152770099
[0.7 0.9 3. ],0.010489609401499001,0.0,0.029172071519799853,0.04159224768685102,0.0,0.0,0.021063380481893178,0.02113332399977677,0.0
[0.3 0.9 0. ],-0.28367604268065605,-0.41269607174010936,-0.4360948095476122,-0.3554961454112273,-0.2927001977990838,-0.2708982195767515,-0.35064162025761436,-0.21655927601214936,-0.25282790566840363
[0.1 0.7 0. ],-0.2418676795349645,-0.10466174574128355,-0.14854222890512436,-0.39163668566352466,-0.11344980392923343,-0.22887017779471133,-0.24179832388247308,-0.2364970143151298,-0.20638571635634448
[0.9 0.7 4. ],0.0,0.03023034558328059,0.0,0.0,0.0,0.010415506554391643,0.010299677152770099,0.0,0.0
[0.1 0.7 1. ],-0.11988537175190413,-0.07725530557207991,-0.09561792499119551,-0.18755493124349382,-0.058519850599,-0.0696606499475321,-0.1922766097948997,-0.08200909038531737,-0.12247897700103201
[0.3 0.9 1. ],-0.15018988037553233,-0.15624633741686045,-0.17383137616441327,-0.17668283291959522,-0.10896696580433268,-0.16745058747943062,-0.143482375477369,-0.07567217813097424,-0.03940399
[0.1 0.9 0. ],-0.23765728565289626,-0.3515286038532798,-0.30358678195042627,-0.10466174574128355,-0.25453982793538077,-0.19027213177874144,-0.15724848107176034,-0.41866646940702645,-0.13452518256953905
[0.1 0.7 2. ],0.0291105411499,0.11361512828387071,0.0199,0.05565466369624127,0.029701,0.039107277010000004,0.15688060259278977,0.029502199,0.0199
[0.1 0.9 1. ],-0.03940399,-0.15935651585931315,-0.18209306240276912,-0.0199,-0.14531870436044095,-0.06793465209301,-0.19046380623442866,-0.23673934866287785,-0.06100244838679744
[0.3 0.9 2. ],0.08380853306098437,0.0764719503104809,0.07725530557207991,0.039022557833182446,0.0096063541399,0.0489100501,0.16614172725554927,0.0099001,0.029701
