,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],438.87450037076775,416.0294045362726,260.73053386163247,256.290980221744,431.67596006211886,348.0736942071119,278.65200987649985,861.5245119988256,434.8849434985372
[0.25 0.15 0.  ],0.09355683813750988,23.40650209682289,28.83289393078399,27.800553374203982,-0.9214164425142334,8.849867821312733,11.342165920927728,434.85196570546015,8.044909926092457
[0.35 0.05 0.  ],8.670274305972667,389.7539160839215,16.82403908566334,-1.3976465588389941,4.160798965903841,-2.180702851168794,2.1287478394309467,19.045224178405515,7.244555088260746
[0.25 0.05 0.  ],11.368613837562647,5.303045057913083,4.14094774375885,4.678315304113594,13.501457413499061,2.689597517423274,12.340996741580966,443.7772658085318,22.799558476716175
[0.25 0.25 0.  ],23.378560552496563,7.41160890073114,15.057086941875978,-1.57726974787107,7.97346069378576,6.080334021181082,7.385798073614821,13.625801115557556,548.0805203113081
[0.15 0.15 0.  ],-2.22233447289273,-2.158739335498585,-2.528867227052607,-2.4287545964400783,-2.012532076953514,-0.7063704277869017,-2.6040611559276483,64.62015650565638,-2.408705424885291
[0.15 0.05 0.  ],-2.5348933074796003,-2.6533548629639907,-2.383928413729616,-2.7403191254059918,-1.650071478204208,-2.8011673007481623,-2.2644879903007955,63.162338580294495,-1.7758109621065814
[0.05 0.05 0.  ],-2.8578498291337064,-2.572697939424097,-2.6614647785902514,-2.4964033718042704,-2.4437794501872294,-2.6415270766113172,-2.5239750037784447,0.9282698611441318,-2.334376188573754
[0.45 0.25 0.  ],416.17670103009567,456.64669302830237,558.506289372328,374.629693685384,561.2339695593047,318.5256586163838,688.0960816312029,863.3349723049382,555.1274376114247
[0.35 0.25 0.  ],12.142257631807055,48.69246302678867,113.39948440139449,19.65490453551669,56.792581301567886,25.725233937102093,27.01149757281264,819.9852409342633,44.295108497087135
